,CustomerId,PipedriveId,ContractStartDateUtc,ContractEndDateUtc,Churned,NumberOfDaysActive,AmountTasksPerMonth,AmountTasksLastMonth,FirstPlanVariantId_Basic Plan,FirstPlanVariantId_Pro Plan,FirstPlanVariantId_WeightBet
1231,616aabb4866cfe4a807633fa,15442.0,2021-10-16 10:38:44+00:00,2021-12-11 11:38:44+00:00,1,56,0.0,0,1,0,0
1232,616ac57b5548e2da073f1329,15443.0,2021-10-16 12:28:43+00:00,2021-11-29 23:00:00+00:00,1,44,3.409090909090909,3,1,0,0
1233,616ac8934771063a66d1f19d,15444.0,2021-10-16 12:41:55+00:00,2021-12-11 13:41:55+00:00,1,56,0.0,0,1,0,0
1234,616adc4d5548e2da073fd7c6,15446.0,2021-10-16 14:06:05+00:00,2021-12-11 15:06:05+00:00,1,56,0.5357142857142857,0,1,0,0
1235,616afc7e5548e2da0740d848,15447.0,2021-10-16 16:23:26+00:00,2022-02-16 23:00:00+00:00,1,123,131.46341463414635,107,1,0,0
1236,616b20f8866cfe4a8079d5c2,15449.0,2021-10-16 18:59:04+00:00,2021-12-11 19:59:04+00:00,1,56,0.0,0,1,0,0
1237,616b55875548e2da074354ad,15450.0,2021-10-16 22:43:19+00:00,2021-12-11 23:43:19+00:00,1,56,0.0,0,1,0,0
1238,616c1daf5548e2da074c3fc9,15451.0,2021-10-17 12:57:19+00:00,2021-12-12 13:57:19+00:00,1,56,0.0,0,1,0,0
1239,616c36515548e2da074d0e8f,15452.0,2021-10-17 14:42:25+00:00,2021-12-12 15:42:25+00:00,1,56,0.0,0,1,0,0
1240,616c70895548e2da074efe04,15453.0,2021-10-17 18:50:49+00:00,2022-02-01 18:50:49+00:00,1,107,0.5607476635514018,0,1,0,0
1241,616c7e1f866cfe4a80875dbe,15454.0,2021-10-17 19:48:47+00:00,2021-11-28 19:48:47+00:00,1,42,0.0,0,1,0,0
1242,616d27d093613e3bd1d71b37,15455.0,2021-10-18 07:52:48+00:00,2021-11-29 07:52:48+00:00,1,42,0.0,0,1,0,0
1243,616d2dd193613e3bd1d78994,15456.0,2021-10-18 08:18:25+00:00,2021-12-15 23:00:00+00:00,1,58,0.0,0,1,0,0
1244,616d360d556907454583e4a3,15457.0,2021-10-18 08:53:33+00:00,2021-12-07 23:00:00+00:00,1,50,0.0,0,1,0,0
1245,616e53b35548e2da076458fd,15459.0,2021-10-19 05:12:19+00:00,2021-11-30 05:12:19+00:00,1,42,0.0,0,1,0,0
1246,616e60785548e2da0764f625,15460.0,2021-10-19 06:06:48+00:00,2021-11-30 06:06:48+00:00,1,42,3.5714285714285716,1,1,0,0
1247,616ed547866cfe4a80a39e59,15463.0,2021-10-19 14:25:11+00:00,2022-03-12 15:25:11+00:00,1,144,12.5,29,1,0,0
1248,616ea2f21761f55cc261f39b,15462.0,2021-10-19 10:50:26+00:00,2022-04-01 00:00:00+00:00,0,163,4.969325153374233,0,1,0,0
