,CustomerId,PipedriveId,ContractStartDateUtc,ContractEndDateUtc,FirstPlanVariantId,Churned,NumberOfDaysActive,CreatedAt
4,6065cec2d779105ba458ab95,7732.0,2021-04-01 13:46:42+00:00,2021-08-01 13:46:42+00:00,5ee8e2ac6237070d18ade4ee,1,122,2021-05-15 04:59:37.051000+00:00
5,6065cec2d779105ba458ab95,7732.0,2021-04-01 13:46:42+00:00,2021-08-01 13:46:42+00:00,5ee8e2ac6237070d18ade4ee,1,122,2021-05-16 10:56:37.595000+00:00
6,6065cec2d779105ba458ab95,7732.0,2021-04-01 13:46:42+00:00,2021-08-01 13:46:42+00:00,5ee8e2ac6237070d18ade4ee,1,122,2021-06-02 04:54:28.126000+00:00
7,6065cec2d779105ba458ab95,7732.0,2021-04-01 13:46:42+00:00,2021-08-01 13:46:42+00:00,5ee8e2ac6237070d18ade4ee,1,122,2021-06-08 05:17:11.968000+00:00
8,6065cec2d779105ba458ab95,7732.0,2021-04-01 13:46:42+00:00,2021-08-01 13:46:42+00:00,5ee8e2ac6237070d18ade4ee,1,122,2021-06-30 06:09:34.368000+00:00
9,6065cec2d779105ba458ab95,7732.0,2021-04-01 13:46:42+00:00,2021-08-01 13:46:42+00:00,5ee8e2ac6237070d18ade4ee,1,122,2021-06-30 07:47:54.012000+00:00
14,604741393f5db5c822d3dabe,7609.0,2021-03-09 09:34:49+00:00,2021-09-24 08:34:49+00:00,5f8e8ea23a5ed4dc29b70522,1,198,2021-05-05 10:00:11.615000+00:00
23,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-07-22 06:57:34.351000+00:00
24,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-07-26 09:26:30.307000+00:00
25,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-07-27 07:21:42.728000+00:00
26,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-07-27 07:29:52.829000+00:00
27,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-08-03 07:17:14.294000+00:00
28,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-08-04 07:59:56.081000+00:00
29,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-08-04 08:00:07.992000+00:00
30,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-08-04 08:00:20.216000+00:00
31,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-08-17 07:17:24.349000+00:00
32,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-08-17 07:17:58.693000+00:00
33,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-08-30 07:48:02.294000+00:00
34,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-09-06 08:15:44.159000+00:00
35,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-09-06 08:23:07.359000+00:00
36,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-09-06 08:23:57.629000+00:00
37,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-09-06 08:23:58.651000+00:00
38,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-09-07 07:07:29.712000+00:00
39,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-10-18 08:26:10.979000+00:00
40,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-10-19 06:55:45.780000+00:00
41,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-11-29 16:21:57.311000+00:00
42,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-01 10:44:09.564000+00:00
43,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-01 10:44:15.425000+00:00
44,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-01 10:44:19.040000+00:00
45,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-01 10:54:35.922000+00:00
46,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-01 10:54:55.581000+00:00
47,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-03 08:09:56.710000+00:00
48,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-03 08:10:00.272000+00:00
49,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-03 08:10:08.418000+00:00
50,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-03 08:12:04.692000+00:00
51,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-03 08:12:15.910000+00:00
52,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-03 08:36:06.401000+00:00
53,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-04 09:15:32.427000+00:00
54,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-04 09:15:46.558000+00:00
55,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:29:36.148000+00:00
56,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:29:42.440000+00:00
57,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:29:49.610000+00:00
58,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:29:51.761000+00:00
59,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:29:57.436000+00:00
60,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:29:59.381000+00:00
61,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:01.251000+00:00
62,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:03.254000+00:00
63,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:05.189000+00:00
64,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:07.388000+00:00
65,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:09.304000+00:00
66,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:11.303000+00:00
67,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:13.205000+00:00
68,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:15.243000+00:00
69,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:30:18.653000+00:00
70,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:43:37.717000+00:00
71,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:43:42.771000+00:00
72,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:43:49.137000+00:00
73,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:43:53.121000+00:00
74,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:43:55.028000+00:00
75,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:44:00.756000+00:00
76,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:44:05.954000+00:00
77,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:44:10.543000+00:00
78,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:44:43.035000+00:00
79,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:44:52.939000+00:00
80,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:44:57.822000+00:00
81,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:45:12.570000+00:00
82,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:45:17.903000+00:00
83,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-05 10:45:22.640000+00:00
84,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-06 10:21:40.287000+00:00
85,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-07 08:10:04.907000+00:00
86,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-07 08:30:45.383000+00:00
87,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-08 08:12:10.432000+00:00
88,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-09 08:57:05.423000+00:00
89,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-09 09:20:10.578000+00:00
90,5f07172a34f3e71ce43e58a1,32.0,2020-05-20 22:00:00+00:00,2022-04-01 00:00:00+00:00,5ee8e2ac6237070d18ade4ee,0,680,2021-12-14 08:16:34.859000+00:00
